This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
fb300d4d50e1ce28408705def2533333bd1ac1260162318297bcdc3e78083b72 6 0 0 0
157f373c94cf256c59e73916ed4186af471f54bc716c4deffd475c8cc0be5107 0 0 0 0
cf4dd2b20b27c8da91f7d310b3c726fc73796fad6caec80ec77ceeaf517b85e3 0 0 0 0
0b5ff64df5771ddc65b31bc2d5d1f83830ca1c18375ab5f8c265edb962ea8183 7 7 22191 4974
d243d6658b9938b5bb3b50817abc05a39d86e92eb2b542ac0b8bacb91eec211c 84 1 1920 1210
732c36fc1deb8cb62dd10331d5f8de698acf54a55397028979779acedb66cefe 23 0 0 0
3e654bdb22230b4a8ce0d90bf8909f5e1e45fac0ec47685570ede968e994a96c 1146 0 0 0
0bdbddf7f4995de26bf6ec15d3349fd17434724edb32504370a348346cd12aa3 5 5 4767 15
b65258747d005a9a0cf7676e027cad23c6c11cf0d94cc2206b9da732859ceeb4 13 13 21763 5601
1e290883a69fced66704c87d2438e918bcdc02a7463e543b2eb8e9d193cb9108 34 34 12914 1411
780d3a040b015cfcddfa54a64ff5204dcfed1edc5d5a80780971ce0a6c043e18 60 0 0 0
fcd86dd09c27b70cb75e861eec74a4888c81f078088a992d71b455074c7707c9 3 3 18674 323
ad49b9548e2b6fc2e0e0d373e42a80bb6526efb63e4bc33a5ae352b43486865e 11497 61 6609 807
84b317ecaab076af6628241e1672e327ac11ee232f839f15339925c569b1ec47 18 10 84 35
fe8b7aa3814105e5341545d4a5710588b7abc9c79dbbbd8318be8eadfb9d1660 3 3 11835 12
ed3f99296d4daf10721a164e97d209bb0051a9783ed657335c8dd5894029fa65 101 100 88765 39138
4d2fa2ba01e6f2ea543838de7f54935296c2fd64869e47f7647067ed1dc9eb50 54 54 47722 36998
ab036a6be7ec81175a113a69698d8d65726cb8f9ca14d3aea07f95626b711ebb 12 12 6016 333
ccc23d23277c9177134764cbc18334168c92ada3e8ae456340470654ccd740ca 29 0 0 0
044f2bf5d82e99b51f171d98ddb1afea52865fc8fc78967ab932399e6f7c2fd3 5 0 0 0
fc4053d0cde47c77c5fe715af1509083a463cab5f2c3ae5540f0d7a3953427ab 18 3 121 20
38ef378f343be70d00045549c5b5f398bda021d57cc8afc33bee50d08a5c1f6c 4 4 3560 39
bea670267f42486953811e47be776fb11736b139d8394983eb36b767047296c4 488 0 0 0
c3908da859db4056cc4aba134133d9b031e92b3a26f16e3de4787e4d8cb7634c 40539 3 12 7
8a518393137d31a94d9ff542d8bd09f4de53da725f5647818738647727cc7d9a 5 0 0 0
d74589f0a1327a58334c02ab762022976a374ef79ca9c3e01feaed4b4682088b 25 25 30661 6084
b2cb121c33028b6be3cf1188750893478ee9e0b442ec5f2f02dd2ad55afef456 25 0 0 0
df1a4fcb7ea0db2e35d3bf318040bb17e76e5cdc742b82f625d031b251a802dd 1 1 5301 0
74f44c0a833a902846c7933f2b59432b835973911bedce449be955806e1e56f3 1142 4 635 236
